"","COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","result"
"393","1",150212,48,54,979060,570,3,11,"0","0","2","LEAVE"
"394","0",60769,163,19,424296,284,16,5,"0","1","3","LEAVE"
"395","1",127740,158,0,476765,581,17,12,"0","1","2","LEAVE"
"396","1",75512,65,67,299006,135,5,1,"0","2","0","LEAVE"
"397","1",46595,196,0,435690,185,24,8,"0","1","1","LEAVE"
"398","0",104753,0,0,229479,542,20,13,"4","4","3","LEAVE"
"399","0",112045,218,0,314455,816,20,9,"0","2","2","LEAVE"
"400","1",49829,201,31,701779,173,11,2,"0","1","4","LEAVE"
"401","0",26647,0,0,356593,235,1,15,"1","3","0","LEAVE"
"402","1",110090,0,0,849805,722,1,13,"0","1","0","LEAVE"
"403","1",27851,209,0,196118,475,10,15,"2","4","2","LEAVE"
"404","1",37243,45,0,545466,173,3,12,"0","1","3","LEAVE"
"405","1",81161,66,68,289439,266,5,1,"4","1","0","LEAVE"
"406","0",40285,42,25,162815,257,5,2,"4","4","0","LEAVE"
"407","0",133164,200,0,265884,866,24,12,"4","1","2","LEAVE"
"408","0",107129,72,0,335460,475,5,15,"4","4","3","LEAVE"
"409","1",38001,99,0,431156,182,4,14,"0","0","4","LEAVE"
"410","0",154681,0,43,352647,597,0,1,"4","4","0","LEAVE"
"411","1",94801,200,7,518975,287,12,6,"4","3","4","LEAVE"
"412","1",98831,217,0,196388,344,27,8,"4","4","0","LEAVE"
"413","1",121075,167,53,965525,797,25,2,"4","3","4","LEAVE"
"414","1",30208,93,0,161510,169,3,12,"3","4","3","LEAVE"
"415","0",153150,0,44,284611,548,1,1,"1","1","2","LEAVE"
"416","0",21536,73,74,364884,191,0,2,"3","0","2","LEAVE"
"417","1",35645,193,0,153797,247,23,10,"0","2","3","LEAVE"
"418","0",125511,0,0,162564,619,0,1,"4","3","2","LEAVE"
"419","1",57294,0,0,155649,376,1,11,"1","3","4","LEAVE"
"420","0",71102,0,0,180593,336,0,13,"4","4","3","LEAVE"
"421","1",118765,67,50,259887,462,5,2,"0","4","4","LEAVE"
"422","1",130641,0,41,577605,622,0,2,"4","1","2","LEAVE"
"423","1",76285,158,89,260797,292,14,2,"4","1","4","LEAVE"
"424","1",143313,0,6,846955,771,1,2,"4","1","2","LEAVE"
"425","1",56819,195,23,654612,263,29,4,"1","4","4","LEAVE"
"426","1",64779,62,85,247953,393,3,1,"3","0","3","LEAVE"
"427","0",35468,0,62,559911,218,1,2,"4","1","3","LEAVE"
"428","1",47034,81,0,464966,221,3,13,"1","3","0","LEAVE"
"429","1",141794,249,55,196796,790,10,2,"0","0","2","LEAVE"
"430","1",97864,51,56,169916,369,1,2,"0","4","4","LEAVE"
"431","1",137770,150,28,531551,274,13,4,"0","1","0","LEAVE"
"432","0",22465,46,22,928448,134,3,5,"1","3","0","LEAVE"
"433","1",97165,71,0,253563,370,28,14,"1","1","0","LEAVE"
"434","0",62988,184,17,472491,375,22,6,"1","1","4","LEAVE"
"435","0",133986,196,9,918689,424,18,6,"0","0","2","LEAVE"
"436","1",54978,59,65,242755,329,5,4,"4","1","2","LEAVE"
"437","1",22416,47,31,419311,194,5,1,"0","1","2","LEAVE"
"438","1",45270,209,0,284545,141,11,14,"1","0","2","LEAVE"
"439","1",35672,0,79,256206,163,1,2,"4","1","2","LEAVE"
"440","0",88132,69,68,590122,378,3,9,"1","1","2","LEAVE"
"441","1",57659,207,67,242754,333,25,2,"0","3","2","LEAVE"
"442","0",94756,0,0,208625,335,0,14,"3","1","4","LEAVE"
"443","1",119641,0,5,253345,833,0,4,"0","1","2","LEAVE"
"444","0",43001,230,22,234274,177,15,4,"1","1","3","LEAVE"
"445","0",44431,0,0,526596,297,1,15,"4","0","3","LEAVE"
"446","0",50831,210,86,224037,384,4,1,"4","4","0","LEAVE"
"447","1",97543,231,0,539754,379,17,15,"4","4","2","LEAVE"
"448","0",69190,0,75,286811,341,0,2,"4","4","0","LEAVE"
"449","1",147222,0,0,810379,451,0,9,"0","1","4","LEAVE"
"450","1",118436,232,55,842943,416,20,1,"4","1","0","LEAVE"
"451","0",25716,0,0,240213,241,0,14,"2","4","2","LEAVE"
"452","1",31886,218,15,375539,153,26,4,"1","4","2","LEAVE"
"453","0",80504,0,46,173814,255,1,2,"0","1","0","LEAVE"
"454","0",98011,202,20,235868,253,16,4,"0","1","1","LEAVE"
"455","1",114611,67,22,596015,488,5,4,"0","2","0","LEAVE"
"456","0",154462,0,31,886336,576,1,1,"0","4","0","LEAVE"
"457","1",54651,58,0,532860,305,4,9,"0","4","0","LEAVE"
"458","0",64242,199,16,166811,365,25,4,"4","0","2","LEAVE"
"459","1",44034,0,0,526366,184,0,14,"1","0","4","LEAVE"
"460","0",105821,152,0,267795,791,20,14,"4","1","2","LEAVE"
"461","1",133356,129,23,764249,151,18,4,"0","1","4","LEAVE"
"462","0",152516,0,39,246561,714,3,1,"2","1","4","LEAVE"
"463","1",102720,0,0,951954,446,0,10,"1","0","0","LEAVE"
"464","0",121743,0,87,241183,493,0,2,"4","4","4","LEAVE"
"465","1",67285,220,6,228821,351,25,5,"0","3","0","LEAVE"
"466","0",37335,0,0,466327,233,1,14,"2","0","2","LEAVE"
"467","0",98987,226,24,523403,399,12,15,"0","1","3","LEAVE"
"468","1",79974,208,36,326431,392,16,2,"0","4","3","LEAVE"
"469","0",129434,175,6,327184,527,27,6,"4","4","0","LEAVE"
"470","1",23165,183,24,170976,198,10,5,"0","1","2","LEAVE"
"471","1",149449,143,37,204948,730,4,2,"1","1","2","LEAVE"
"472","0",106079,0,41,688666,668,0,1,"4","1","0","LEAVE"
"473","0",52448,0,44,479439,267,15,1,"0","1","0","LEAVE"
"474","0",21927,66,87,625875,241,1,1,"0","4","3","LEAVE"
"475","0",77449,186,6,558255,359,21,6,"4","4","0","LEAVE"
"476","0",125613,44,14,402417,634,4,6,"0","1","0","LEAVE"
"477","1",37998,0,14,390306,246,0,6,"0","1","2","LEAVE"
"478","1",78189,222,0,225741,301,13,10,"1","3","4","LEAVE"
"479","1",43275,123,62,834120,209,24,1,"0","1","2","LEAVE"
"480","1",128957,239,9,220500,887,11,6,"0","1","2","LEAVE"
"481","1",151311,0,0,294544,820,0,14,"4","4","2","LEAVE"
"482","1",28828,40,7,304297,190,5,6,"4","0","4","LEAVE"
"483","1",71202,184,22,561409,290,20,5,"0","0","0","LEAVE"
"484","0",69417,52,88,686029,331,3,2,"0","1","0","LEAVE"
"485","0",100623,63,5,788597,710,1,4,"0","1","2","LEAVE"
"486","0",75128,231,0,299823,329,11,11,"4","4","2","LEAVE"
"487","1",48362,61,85,491920,246,3,1,"4","3","4","LEAVE"
"488","0",150630,217,13,941505,652,11,4,"0","3","3","LEAVE"
"489","0",127876,34,82,212090,427,3,1,"1","3","2","LEAVE"
"490","1",57022,75,15,262863,374,4,5,"1","1","4","LEAVE"
"491","0",59588,78,0,858419,267,4,13,"1","1","1","LEAVE"
"492","0",157765,26,89,902948,686,4,2,"4","1","2","LEAVE"
"493","1",60781,193,32,378274,333,27,1,"1","1","3","LEAVE"
"494","0",45333,74,0,580815,199,5,6,"2","1","0","LEAVE"
"495","1",89711,0,0,394683,357,0,10,"0","4","2","LEAVE"
"496","0",76071,0,74,959609,323,0,2,"0","0","0","LEAVE"
"497","0",127290,235,16,266227,873,20,2,"0","1","0","LEAVE"
"498","0",31122,55,54,175259,273,3,1,"4","3","3","LEAVE"
"499","1",146338,76,18,910072,448,3,6,"4","0","2","LEAVE"
"500","0",125384,61,41,782532,537,3,2,"4","1","2","LEAVE"
"501","0",118797,220,0,398173,683,18,2,"0","1","2","LEAVE"
"502","1",88703,0,43,362851,257,0,2,"1","4","3","LEAVE"
"503","0",113223,0,0,450811,792,0,9,"4","4","0","LEAVE"
"504","1",121750,66,58,233286,603,4,1,"0","0","2","LEAVE"
"505","1",129382,0,0,410641,740,1,11,"1","1","2","LEAVE"
"506","0",123879,184,23,946813,740,14,4,"0","4","4","LEAVE"
"507","0",142055,226,56,278019,587,12,2,"4","1","4","LEAVE"
"508","1",31007,179,0,324768,187,17,14,"4","4","2","LEAVE"
"509","1",78281,236,0,460967,344,24,9,"4","4","2","LEAVE"
"510","1",118726,211,0,283461,213,18,11,"0","1","3","LEAVE"
"511","0",40780,209,18,680403,150,22,5,"4","3","0","LEAVE"
"512","0",147808,39,29,550047,549,4,1,"1","1","2","LEAVE"
"513","1",104269,70,0,501302,489,5,11,"0","1","2","LEAVE"
"514","1",28547,57,87,453647,396,4,1,"1","0","3","LEAVE"
"515","1",77869,174,20,353722,340,10,4,"4","4","2","LEAVE"
"516","1",39398,85,29,797879,135,3,2,"3","1","2","LEAVE"
"517","1",154608,0,0,239443,811,1,14,"1","1","2","LEAVE"
"518","1",153285,58,47,556983,613,4,1,"0","4","2","LEAVE"
"519","1",124164,33,15,529346,432,3,4,"0","0","0","LEAVE"
"520","1",37738,0,10,592910,138,1,5,"0","0","2","LEAVE"
"521","1",24418,0,70,385571,150,1,2,"1","1","2","LEAVE"
"522","0",153361,192,0,543792,584,29,12,"4","1","2","LEAVE"
"523","1",153784,158,73,762014,784,15,2,"0","0","0","LEAVE"
"524","0",33445,182,84,201373,155,10,2,"0","3","4","LEAVE"
"525","1",90339,180,0,274951,272,14,10,"0","0","0","LEAVE"
"526","0",36617,217,27,394446,200,25,1,"4","1","2","LEAVE"
"527","0",46441,0,0,508009,200,1,15,"0","0","4","LEAVE"
"528","0",144896,184,53,455342,806,13,1,"0","3","1","LEAVE"
"529","1",23124,69,6,916261,198,5,6,"4","4","2","LEAVE"
"530","0",98580,238,0,327032,369,16,12,"0","4","2","LEAVE"
"531","1",43178,42,47,287907,155,0,8,"3","1","2","LEAVE"
"532","1",100196,227,0,541122,757,15,11,"2","1","4","LEAVE"
"533","1",27707,53,15,409773,170,4,5,"4","1","4","LEAVE"
"534","1",40650,245,0,266920,243,24,14,"0","1","2","LEAVE"
"535","0",85716,202,0,419080,357,26,11,"0","3","4","LEAVE"
"536","0",83479,219,18,531628,323,28,4,"1","1","2","LEAVE"
"537","0",134751,204,36,761322,683,11,1,"4","1","0","LEAVE"
"538","1",57711,61,0,208138,313,3,12,"2","4","2","LEAVE"
"539","1",133417,210,0,166004,729,28,12,"0","0","2","LEAVE"
"540","0",146435,186,23,479834,731,13,4,"0","0","3","LEAVE"
"541","1",138787,209,17,259506,881,20,5,"0","1","4","LEAVE"
"542","1",68702,53,86,789745,382,4,1,"0","1","2","LEAVE"
"543","0",144464,161,63,273108,806,12,1,"0","0","0","LEAVE"
"544","1",20818,185,17,541229,197,14,4,"0","1","0","LEAVE"
"545","0",22303,0,67,477464,227,1,1,"4","1","0","LEAVE"
"546","1",84470,28,14,476373,137,3,2,"0","4","4","LEAVE"
"547","1",50815,43,9,275620,358,24,6,"0","0","3","LEAVE"
"548","1",109007,63,11,518640,669,3,5,"4","4","1","LEAVE"
"549","0",110585,198,23,323935,779,28,2,"0","2","4","LEAVE"
"550","0",124120,197,0,159920,685,0,14,"2","1","4","LEAVE"
"551","1",42013,31,16,226047,142,4,6,"0","1","4","LEAVE"
"552","1",99867,261,0,298807,359,10,9,"2","1","2","LEAVE"
"553","1",77029,77,32,152254,312,5,1,"1","1","2","LEAVE"
"554","1",131181,195,0,798676,714,15,6,"0","1","2","LEAVE"
"555","0",83700,0,0,414747,380,1,15,"0","4","1","LEAVE"
"556","1",25522,0,9,428371,209,0,6,"0","1","2","LEAVE"
"557","1",62412,0,0,307866,287,1,9,"4","4","2","LEAVE"
"558","0",116566,177,0,283892,454,10,14,"1","1","2","LEAVE"
"559","0",96032,0,0,664453,352,1,10,"1","1","2","LEAVE"
"560","0",49730,0,50,239403,243,0,2,"1","1","4","LEAVE"
"561","1",147695,219,0,482049,826,24,12,"2","4","4","LEAVE"
"562","0",23578,203,25,557182,205,10,1,"1","4","0","LEAVE"
"563","1",111439,0,0,210604,586,5,11,"0","4","1","LEAVE"
"564","0",151933,69,13,721580,758,4,5,"1","1","4","LEAVE"
"565","0",20878,187,0,412984,246,12,11,"0","1","2","LEAVE"
"566","0",150278,0,52,276132,897,0,1,"0","2","0","LEAVE"
"567","1",42927,0,33,464511,177,1,1,"0","4","4","LEAVE"
"568","0",96053,0,24,316675,264,0,4,"4","4","2","LEAVE"
"569","1",22994,157,69,453359,230,13,1,"0","0","0","LEAVE"
"570","1",122907,257,0,355074,889,1,8,"0","2","2","LEAVE"
"571","0",98693,207,80,279919,376,27,1,"4","4","4","LEAVE"
"572","0",58740,44,0,202764,397,29,2,"0","4","0","LEAVE"
"573","0",106893,231,6,189574,515,0,5,"4","1","0","LEAVE"
"574","0",109682,0,49,990602,207,1,4,"2","2","3","LEAVE"
"575","0",156314,52,12,699627,455,3,6,"2","1","4","LEAVE"
"576","1",53333,218,24,338357,257,16,5,"0","1","2","LEAVE"
"577","0",32070,65,36,202318,245,3,1,"0","3","2","LEAVE"
"578","0",158780,217,76,917194,736,3,2,"1","4","2","LEAVE"
"579","1",23999,70,88,491960,212,3,1,"4","1","2","LEAVE"
"580","0",46363,156,24,300209,138,5,4,"4","3","2","LEAVE"
"581","1",76122,229,57,485252,384,12,1,"4","4","4","LEAVE"
"582","0",94394,63,0,155710,319,5,15,"0","4","2","LEAVE"
"583","0",130276,0,82,167431,763,1,1,"0","1","0","LEAVE"
"584","1",98180,0,28,224305,310,1,1,"0","4","2","LEAVE"
"585","1",113174,199,9,405590,639,29,6,"0","1","2","LEAVE"
"586","1",39019,167,12,157947,247,15,4,"0","0","2","LEAVE"
"587","0",32298,32,0,296967,197,4,4,"0","3","2","LEAVE"
"588","1",66744,209,27,160319,375,23,6,"1","2","4","LEAVE"
"589","1",27619,69,0,751375,164,5,9,"4","4","2","LEAVE"
"590","0",158633,58,0,286878,793,5,15,"1","3","0","LEAVE"
"591","0",96109,60,15,239569,281,5,5,"3","2","4","LEAVE"
"592","1",70927,168,0,477252,277,24,8,"0","4","3","LEAVE"
"593","0",97507,217,44,531121,289,15,2,"4","1","0","LEAVE"
"594","0",60484,0,51,445238,330,0,1,"0","1","0","LEAVE"
"595","1",131788,0,0,555724,507,22,10,"4","4","0","LEAVE"
"596","1",25878,224,0,216066,199,25,13,"4","1","2","LEAVE"
"597","0",62852,0,57,193001,341,1,1,"0","1","0","LEAVE"
"598","1",35343,0,22,718459,182,1,5,"4","0","0","LEAVE"
"599","1",155919,163,22,468439,630,19,5,"2","1","4","LEAVE"
"600","1",133914,195,42,834988,613,19,2,"0","3","0","LEAVE"
"601","0",110132,71,74,813929,835,5,1,"4","1","4","LEAVE"
"602","1",122419,243,80,742918,424,5,2,"1","2","4","LEAVE"
"603","0",151932,0,41,377643,610,3,2,"0","1","0","LEAVE"
"604","1",88888,35,0,275588,360,5,8,"1","3","2","LEAVE"
"605","0",29044,52,19,175127,213,5,5,"1","0","4","LEAVE"
"606","1",23684,161,0,663926,181,29,12,"1","1","2","LEAVE"
"607","0",105192,73,23,377586,738,5,6,"2","0","3","LEAVE"
"608","0",133869,0,74,187090,222,0,1,"4","4","0","LEAVE"
"609","1",136529,0,0,185265,793,0,9,"1","0","3","LEAVE"
"610","0",148492,0,78,264406,445,1,1,"0","0","4","LEAVE"
"611","0",21270,0,0,217530,217,3,13,"1","3","1","LEAVE"
"612","0",52873,0,53,492791,352,4,1,"1","1","4","LEAVE"
"613","0",28368,232,38,483698,191,13,2,"3","0","2","LEAVE"
"614","0",30894,68,5,402878,199,5,6,"4","0","1","LEAVE"
"615","1",28966,163,73,264956,150,24,1,"4","1","4","LEAVE"
"616","1",47645,80,0,958522,148,4,5,"0","4","2","LEAVE"
"617","0",26958,201,46,523797,222,11,2,"4","0","0","LEAVE"
"618","0",118939,221,0,156452,723,10,9,"0","1","2","LEAVE"
"619","0",69704,0,0,551878,387,0,10,"1","1","4","LEAVE"
"620","0",48246,233,77,255645,235,1,1,"4","1","4","LEAVE"
"621","0",151077,204,8,206887,442,0,5,"4","0","2","LEAVE"
"622","1",44952,0,0,572146,334,1,10,"4","1","2","LEAVE"
"623","0",104239,0,0,439244,635,0,15,"2","3","1","LEAVE"
"624","0",128501,264,0,234804,443,24,1,"0","1","4","LEAVE"
"625","1",149130,191,0,744639,664,25,8,"4","1","2","LEAVE"
"626","1",112753,74,18,958752,806,3,4,"1","3","4","LEAVE"
"627","0",38052,0,77,521639,234,0,2,"4","1","2","LEAVE"
"628","0",32323,53,5,813402,144,3,1,"0","4","0","LEAVE"
"629","1",145731,68,0,368446,749,3,11,"0","2","0","LEAVE"
"630","0",93359,202,13,401367,261,23,4,"1","4","2","LEAVE"
"631","1",100908,204,88,964159,772,28,2,"3","1","4","LEAVE"
"632","1",143850,52,10,284597,658,5,5,"1","1","4","LEAVE"
"633","0",143696,231,15,638526,720,16,6,"0","0","1","LEAVE"
"634","0",120331,238,27,256742,706,12,1,"0","0","0","LEAVE"
"635","1",119894,189,0,275896,630,11,9,"4","1","2","LEAVE"
"636","0",74748,71,0,269872,364,4,10,"4","1","4","LEAVE"
"637","0",109254,184,0,599733,861,14,13,"1","1","2","LEAVE"
"638","0",23157,47,85,982795,132,3,1,"4","0","2","LEAVE"
"639","1",35483,0,22,810900,142,1,5,"4","1","0","LEAVE"
"640","1",21828,188,87,801794,132,4,1,"2","4","2","LEAVE"
"641","0",126718,61,0,343847,492,4,12,"1","4","0","LEAVE"
"642","0",36580,0,63,349872,161,0,1,"0","1","2","LEAVE"
"643","1",142221,233,69,160194,847,10,1,"2","1","2","LEAVE"
"644","0",40749,0,0,573932,242,0,14,"0","4","0","LEAVE"
"645","0",66638,179,51,206487,325,27,1,"0","4","2","LEAVE"
"646","0",154434,44,46,760193,674,4,2,"4","4","2","LEAVE"
"647","1",135093,38,20,610457,609,3,5,"4","1","4","LEAVE"
"648","0",83525,246,53,308636,271,27,1,"1","4","4","LEAVE"
"649","1",112640,222,34,957660,466,18,1,"2","1","0","LEAVE"
"650","1",42901,66,0,452655,215,5,12,"1","3","4","LEAVE"
"651","1",158485,0,66,560906,532,0,2,"3","0","4","LEAVE"
"652","1",102286,183,0,469981,525,14,13,"1","1","1","LEAVE"
"653","0",78750,191,20,242577,292,28,5,"0","2","4","LEAVE"
"654","1",23372,55,0,686560,211,3,13,"0","0","2","LEAVE"
"655","1",44853,0,82,300038,795,13,2,"4","4","3","LEAVE"
"656","0",66147,0,0,323187,321,1,13,"1","4","2","LEAVE"
"657","0",81843,226,22,364778,379,11,5,"3","0","2","LEAVE"
"658","0",106655,177,48,446254,706,16,1,"0","1","0","LEAVE"
"659","0",88650,0,0,277232,350,0,9,"4","1","2","LEAVE"
"660","0",115579,59,69,939873,454,28,1,"4","0","2","LEAVE"
"661","0",37785,203,0,262475,184,12,11,"4","0","0","LEAVE"
"662","0",22294,260,51,847213,242,14,5,"0","1","0","LEAVE"
"663","1",44611,56,13,185715,202,3,5,"3","1","0","LEAVE"
"664","1",45794,65,0,267794,194,3,2,"0","4","2","LEAVE"
"665","0",150046,193,13,550588,517,17,4,"0","4","4","LEAVE"
"666","0",41938,195,0,243128,213,15,11,"1","4","0","LEAVE"
"667","1",21220,70,24,362960,148,3,4,"1","1","0","LEAVE"
"668","0",87946,165,6,393669,367,20,4,"0","0","2","LEAVE"
"669","1",32950,179,0,439456,217,14,4,"0","4","1","LEAVE"
"670","1",36838,237,0,244398,212,16,12,"2","1","0","LEAVE"
"671","1",109808,170,0,192820,465,15,10,"4","1","4","LEAVE"
"672","0",31181,151,10,415951,198,28,4,"0","4","0","LEAVE"
"673","0",151395,0,0,815864,751,5,13,"1","1","4","LEAVE"
"674","0",83347,57,10,443309,263,4,5,"4","1","3","LEAVE"
"675","1",88819,170,10,329735,278,25,5,"0","4","2","LEAVE"
"676","0",76843,47,75,668033,369,3,2,"4","0","0","LEAVE"
"677","0",139882,196,24,776070,708,16,6,"0","4","2","LEAVE"
"678","1",98591,209,21,404095,327,16,4,"1","0","4","LEAVE"
"679","1",67347,74,9,337572,344,5,6,"2","4","4","LEAVE"
"680","1",55696,61,43,950707,362,4,2,"0","4","0","LEAVE"
"681","1",136465,167,0,761473,619,5,14,"1","1","2","LEAVE"
"682","0",27089,52,56,281950,184,3,14,"0","4","0","LEAVE"
"683","0",47451,166,17,282251,381,12,1,"1","1","4","LEAVE"
"684","0",40218,241,49,353968,243,14,1,"4","1","3","LEAVE"
"685","1",63168,156,17,212695,321,13,4,"3","1","0","LEAVE"
"686","0",95589,221,14,333835,351,4,8,"3","4","4","LEAVE"
"687","1",93375,206,30,417554,302,13,1,"2","1","4","LEAVE"
"688","1",130426,60,61,999018,223,28,1,"2","0","1","LEAVE"
"689","1",157487,71,9,180068,578,3,5,"0","4","1","LEAVE"
"690","1",24002,39,0,598104,168,5,12,"0","4","0","LEAVE"
"691","1",90259,41,14,959818,388,3,5,"1","0","3","LEAVE"
"692","0",58077,0,0,771108,352,0,11,"0","3","2","LEAVE"
"693","0",36979,0,69,977095,554,0,2,"0","0","2","LEAVE"
"694","1",104705,0,7,281334,735,0,2,"1","0","2","LEAVE"
"695","1",117911,213,17,290514,515,12,2,"0","1","4","LEAVE"
"696","0",87906,0,0,288091,345,1,14,"1","2","3","LEAVE"
"697","0",150073,28,0,332070,812,5,11,"1","2","2","LEAVE"
"698","1",29288,0,82,424099,199,0,1,"1","3","2","LEAVE"
"699","1",138724,56,0,216355,720,3,10,"4","1","2","LEAVE"
"700","0",68167,0,78,153145,262,1,2,"1","1","2","LEAVE"
"701","1",142422,179,13,579963,773,28,5,"4","4","1","LEAVE"
"702","0",36846,53,29,540583,201,4,2,"0","4","0","LEAVE"
"703","1",33177,0,49,863894,213,1,1,"0","1","1","LEAVE"
"704","1",33227,200,16,484373,228,27,6,"0","1","0","LEAVE"
"705","0",81265,158,8,410502,276,25,5,"4","4","1","LEAVE"
"706","0",138478,61,0,156603,588,4,13,"0","1","2","LEAVE"
"707","0",51083,24,0,197681,282,4,9,"4","1","2","LEAVE"
"708","0",63407,90,0,215904,384,4,13,"1","4","0","LEAVE"
"709","0",44069,69,13,190811,190,3,4,"0","3","0","LEAVE"
"710","0",132005,62,36,499877,561,3,2,"1","0","4","LEAVE"
"711","1",127455,76,18,570866,602,3,5,"2","2","3","LEAVE"
"712","1",25203,45,59,576847,168,0,2,"0","4","0","LEAVE"
"713","1",138517,67,7,233892,667,5,4,"2","2","0","LEAVE"
"714","1",134790,205,9,366161,546,20,4,"0","3","0","LEAVE"
"715","0",30252,85,13,879382,209,3,14,"4","2","2","LEAVE"
"716","1",33623,62,5,558915,231,3,5,"1","1","2","LEAVE"
"717","0",60483,80,16,399286,269,5,5,"0","0","2","LEAVE"
"718","1",84440,175,20,833991,275,29,4,"1","4","0","LEAVE"
"719","0",64270,237,17,552326,273,10,6,"0","1","4","LEAVE"
"720","0",148343,215,0,726841,171,18,15,"4","1","2","LEAVE"
