"RESPONDED_SURVEY","RESIDENT","EVAL_MAJOR","COLLEGE_CODE1","COLLEGE_NAME1","MAJOR_CODE1","COLLEGE_CODE2","COLLEGE_NAME2","MAJOR_CODE2","SP16_ENRL_HRS_AT_CENSUS","SP16_TERM_UI_GRADED._HRS","SP16_TERM_UI_TOTAL_HOURS","ACT","ACTE","ACTM","ACTR","ACTS","AGE","DECLINETOSTATE","ETHNICITY_LOC","GENDER","HSRANK","Semester.Hours","TERM1","TOTAL_UNITS","WHITE","HS_PERCENTILE_RANK","IS_PARENT_HIGHER_ED_GRAD","TFC_LEVEL","TFC_LEVEL_GRAD","TFC_MOD_ASSIGN2015","TFC_INVITED_PREVIOUS","TFC_NONRESIDENT","TFC_STATUS","TFC_YEAR"
"Y","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,14,14,14,21,22,24,18,20,22,NA,"White, not of Hispanic or Latino(a) origin","F",93,97,2,114,"Y",93,"N","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","LEIS_STDS","A","College of Liberal Arts and Sciences","ART",13,13,13,NA,NA,NA,NA,NA,31,NA,"White, not of Hispanic or Latino(a) origin","F",30,58,2,115,"Y",30,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"(1,2]","(2012,2013]"
"Y","Y","Y","R","University College","BAS",NA,NA,NA,17,17,3,26,22,27,31,25,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,42,2,118,"Y",NA,NA,"(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,16,16,16,22,24,20,23,21,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,12,2,15,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","N","A","College of Liberal Arts and Sciences","ATHL_TNG_INT",NA,NA,NA,17,17,17,23,23,23,23,23,19,NA,"White, not of Hispanic or Latino(a) origin","F",86,10,2,28,"Y",86,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","AM_STDS","A","College of Liberal Arts and Sciences","COMM",16,13,9,24,22,23,25,25,19,NA,"White, not of Hispanic or Latino(a) origin","F",75,11,2,15,"Y",75,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMP_SCI","A","College of Liberal Arts and Sciences","NUCL_MED_TECH_INT",14,NA,NA,19,17,19,21,19,18,NA,"White, not of Hispanic or Latino(a) origin","F",87,11,2,16,"Y",87,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","SOCIOL",NA,NA,NA,16,15,16,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","F",NA,91,2,98,NA,NA,NA,"(3,4]","(4,5]","[3,3]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","ELEM_EDUC",NA,NA,NA,14,NA,14,26,27,26,27,24,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,104,2,114,"Y",NA,"N","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,18,16,17,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","M",NA,77,2,78,NA,NA,NA,"(2,3]","(2,3]","(3,5]","[0,0]","[1,1]","[1,1]","(2012,2013]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","COMM","A","College of Liberal Arts and Sciences","SCI_EDUC",15,16,16,NA,NA,NA,NA,NA,24,"Y","Race and Ethnicity unknown","F",NA,87,2,103,NA,NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2009,2010]"
"N","N","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,13,13,13,25,29,18,29,22,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,13,2,75,"Y",NA,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","Y","N","A","College of Liberal Arts and Sciences","NURS_INT",NA,NA,NA,13,13,13,23,25,23,21,24,20,NA,"Hispanic or Latino(a)","M",98,41,2,87,NA,98,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,12,12,12,20,18,20,20,20,22,NA,"Asian","F",66,90,2,94,NA,66,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","SOC_WK",NA,NA,NA,13,13,13,18,17,18,17,19,26,NA,"Multi-Racial","F",20,34,2,93,"Y",20,"N","(3,4]","(3,4]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMP_SCI","A","College of Liberal Arts and Sciences","MATH",16,13,15,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","M",NA,99,2,104,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS","A","College of Liberal Arts and Sciences","PRE_OCCUP_THERAPY",16,16,16,24,22,25,23,24,20,NA,"White, not of Hispanic or Latino(a) origin","F",92,85,2,96,"Y",92,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,15,15,15,21,20,18,24,22,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,63,2,80,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","E","College of Engineering","ELEC_ENGR",NA,NA,NA,13,13,13,28,30,27,28,26,21,NA,"Asian","M",NA,75,2,89,NA,NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_VET_MED",NA,NA,NA,14,8,12,26,21,31,22,30,18,NA,"Asian","F",NA,8,2,12,NA,NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","N","College of Nursing","NURS",NA,NA,NA,13,6,13,23,25,24,22,21,23,NA,"Hispanic or Latino(a)","F",NA,120,2,139,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,13,9,9,22,23,27,22,15,23,NA,"Nonresident Alien","M",NA,46,2,56,NA,NA,NA,"(1,2]","(1,2]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","ART","A","College of Liberal Arts and Sciences","HIST",15,15,15,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","M",NA,NA,1,NA,NA,NA,NA,"[1,1]","[1,1]","[3,3]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","ECON","A","College of Liberal Arts and Sciences","THEATRE_ARTS",18,18,18,32,35,26,30,35,23,NA,"White, not of Hispanic or Latino(a) origin","F",NA,110,2,112,"Y",NA,NA,"(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","Y","Y","B","Tippie College of Business","ECON","B","Tippie College of Business","MKTG",21,18,18,23,23,26,22,21,21,NA,"White, not of Hispanic or Latino(a) origin","F",75,72,2,102,"Y",75,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,15,15,15,20,19,19,20,20,21,NA,"Hispanic or Latino(a)","F",92,98,1,134,NA,92,"N","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2008,2009]"
"N","N","Y","E","College of Engineering","CIV_ENGR",NA,NA,NA,15,15,15,25,27,27,20,27,21,NA,"White, not of Hispanic or Latino(a) origin","M",72,79,1,83,"Y",72,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","ART","A","College of Liberal Arts and Sciences","SEC_EDUC_INT",12,11,12,19,17,18,22,17,18,NA,"Asian","F",82,10,2,22,NA,82,"N","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",13,13,13,32,33,33,28,34,20,NA,"White, not of Hispanic or Latino(a) origin","M",99,72,2,90,"Y",99,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","CHEM","A","College of Liberal Arts and Sciences","SPAN",16,16,16,32,30,36,30,32,20,NA,"White, not of Hispanic or Latino(a) origin","M",96,51,2,108,"Y",96,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,12,12,12,25,25,25,28,21,22,NA,"White, not of Hispanic or Latino(a) origin","F",71,97,2,125,"Y",71,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,16,16,16,23,21,24,22,24,19,NA,"White, not of Hispanic or Latino(a) origin","F",89,13,2,18,"Y",89,"N","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","ACTS_INT",NA,NA,NA,16,15,16,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","M",NA,NA,4,49,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","(1,2]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","BIOCHEM",NA,NA,NA,18,18,18,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","M",NA,72,2,74,NA,NA,NA,"(2,3]","(2,3]","(3,5]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_MED",NA,NA,NA,12,12,8,NA,NA,NA,NA,NA,30,NA,"White, not of Hispanic or Latino(a) origin","M",NA,NA,4,62,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ECON",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,24,"Y","Race and Ethnicity unknown","M",17,30,2,89,NA,17,NA,"(2,3]","(2,3]","[3,3]","(0,1]",NA,"(1,2]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","INTD_STDS",NA,NA,NA,6,6,6,NA,NA,NA,NA,NA,53,NA,"White, not of Hispanic or Latino(a) origin","F",34,28,2,100,"Y",34,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,16,16,24,23,30,18,23,19,NA,"Nonresident Alien","M",NA,16,2,18,NA,NA,NA,"[1,1]","[1,1]","[3,3]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","PSYCH","A","College of Liberal Arts and Sciences","SOC_WK_INT",16,16,16,29,33,27,32,25,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,46,2,55,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","ENTERPRISE_LEADERSHIP",NA,NA,NA,15,15,15,26,26,24,28,27,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,40,2,70,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,16,13,13,25,24,23,27,25,20,NA,"White, not of Hispanic or Latino(a) origin","F",92,44,2,51,"Y",92,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY",NA,NA,NA,14,14,14,26,27,24,31,23,23,NA,"White, not of Hispanic or Latino(a) origin","M",NA,104,2,121,"Y",NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","N","Y","A","College of Liberal Arts and Sciences","BIOLOGY","A","College of Liberal Arts and Sciences","BIOCHEM",15,14,15,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","F",NA,44,2,50,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","BIOCHEM","A","College of Liberal Arts and Sciences","PRE_MED",16,16,16,33,34,33,34,31,20,NA,"White, not of Hispanic or Latino(a) origin","F",99,50,2,91,"Y",99,"Y","(3,4]","(3,4]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,6,6,6,26,31,18,34,22,22,NA,"White, not of Hispanic or Latino(a) origin","M",NA,107,2,114,"Y",NA,"N","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",16,16,16,26,25,23,33,24,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,15,2,17,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","SOCIOL",NA,NA,NA,17,16,17,NA,NA,NA,NA,NA,22,NA,"White, not of Hispanic or Latino(a) origin","M",NA,31,4,93,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,19,16,16,NA,NA,NA,NA,NA,21,NA,"Nonresident Alien","M",NA,42,2,44,NA,NA,NA,"(1,2]","(1,2]","(3,5]","[0,0]","[1,1]","[1,1]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,14,14,14,25,23,26,27,23,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,15,2,17,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","R","University College","UNIV_COLL_OPEN_MAJOR",NA,NA,NA,13,12,NA,22,19,21,24,23,22,NA,"White, not of Hispanic or Latino(a) origin","M",44,81,2,82,"Y",44,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","AM_STDS",NA,NA,NA,12,12,12,28,31,26,30,25,19,NA,"White, not of Hispanic or Latino(a) origin","F",83,14,2,33,"Y",83,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","ENTERPRISE_LEADERSHIP",NA,NA,NA,18,17,17,NA,NA,NA,NA,NA,21,NA,"Nonresident Alien","F",NA,61,2,67,NA,NA,NA,"(2,3]","(2,3]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ELEM_EDUC",NA,NA,NA,15,14,15,26,24,23,31,25,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,69,2,85,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","MICROBIOL",NA,NA,NA,3,3,NA,32,32,27,35,32,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,38,2,50,"Y",NA,"N","(1,2]","(1,2]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","ENTERPRISE_LEADERSHIP",NA,NA,NA,16,16,16,20,24,17,21,19,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,68,2,74,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_DENT",14,12,14,25,28,22,26,25,22,NA,"White, not of Hispanic or Latino(a) origin","F",96,93,2,106,"Y",96,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","INFORM_COMP_SCI",NA,NA,NA,16,14,12,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","M",NA,66,2,66,NA,NA,NA,"(2,3]","(2,3]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HIST","A","College of Liberal Arts and Sciences","SEC_EDUC_INT",16,16,16,22,23,21,22,22,21,NA,"White, not of Hispanic or Latino(a) origin","F",38,60,2,98,"Y",38,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,13,10,10,NA,NA,NA,NA,NA,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,43,2,87,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"Y","N","Y","B","Tippie College of Business","ACTG",NA,NA,NA,15,15,15,31,31,33,30,31,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,75,2,76,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","E","College of Engineering","ELEC_ENGR",NA,NA,NA,15,15,15,33,35,34,30,33,21,NA,"White, not of Hispanic or Latino(a) origin","M",92,79,2,102,"Y",92,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","BIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",12,12,12,33,32,28,35,35,22,NA,"White, not of Hispanic or Latino(a) origin","M",99,99,2,139,"Y",99,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","N","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,14,13,14,30,34,26,28,31,22,NA,"White, not of Hispanic or Latino(a) origin","F",99,93,2,113,"Y",99,"N","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","N","Y","A","College of Liberal Arts and Sciences","MATH","A","College of Liberal Arts and Sciences","IEP",0,NA,NA,NA,NA,NA,NA,NA,19,NA,"Nonresident Alien","M",NA,NA,2,NA,NA,NA,NA,"[1,1]","[1,1]","[3,3]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMM","A","College of Liberal Arts and Sciences","ART",13,12,13,24,26,22,28,20,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,37,2,55,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","B","Tippie College of Business","FINANCE","B","Tippie College of Business","BUSN_ANALYTICS_INFO_SYS",12,12,12,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","F",NA,108,2,122,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,23,NA,"Nonresident Alien","M",NA,105,2,117,NA,NA,NA,"(3,4]","(4,5]","[3,3]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,16,6,22,22,22,21,21,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,10,2,10,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,15,15,15,25,26,27,21,24,21,NA,"White, not of Hispanic or Latino(a) origin","M",80,95,2,110,"Y",80,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,15,6,9,25,23,26,24,25,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,NA,2,NA,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","SOCIOL","A","College of Liberal Arts and Sciences","ENTERPRISE_LEADERSHIP",14,14,14,23,25,18,30,20,20,NA,"Hispanic or Latino(a)","M",NA,12,2,73,NA,NA,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","Y","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,15,15,15,26,26,31,20,26,19,NA,"White, not of Hispanic or Latino(a) origin","M",80,15,1,25,"Y",80,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","STAT","A","College of Liberal Arts and Sciences","MATH",21,18,18,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","F",NA,103,2,112,NA,NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"Y","Y","Y","R","University College","BLS",NA,NA,NA,13,13,13,23,24,22,24,22,22,NA,"White, not of Hispanic or Latino(a) origin","F",92,76,2,112,"Y",92,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_OPT",15,15,15,25,24,25,27,25,21,NA,"White, not of Hispanic or Latino(a) origin","F",78,71,2,83,"Y",78,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_MED",NA,NA,NA,16,16,16,28,28,25,27,30,19,NA,"White, not of Hispanic or Latino(a) origin","M",86,16,2,24,"Y",86,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,15,12,12,NA,NA,NA,NA,NA,18,NA,"Nonresident Alien","M",NA,13,2,4,NA,NA,NA,"[1,1]","[1,1]","(3,5]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","JRNL_MC","A","College of Liberal Arts and Sciences","ENGL",16,16,16,NA,NA,NA,NA,NA,41,NA,"White, not of Hispanic or Latino(a) origin","M",NA,69,2,129,"Y",NA,"N","(3,4]","(4,5]","(3,5]","(0,1]",NA,"(1,2]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","MICROBIOL","A","College of Liberal Arts and Sciences","PRE_MED",15,NA,NA,25,25,26,24,25,19,NA,"White, not of Hispanic or Latino(a) origin","M",88,11,2,43,"Y",88,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","ELEM_EDUC",NA,NA,NA,15,14,15,23,25,23,22,22,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,66,2,79,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,13,13,13,NA,NA,NA,NA,NA,21,NA,"Asian","M",NA,12,2,7,NA,NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","BIOLOGY",NA,NA,NA,16,12,12,22,17,30,17,24,24,NA,"Nonresident Alien","F",NA,72,4,100,NA,NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]","[1,1]","[1,1]","(2010,2011]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,16,16,23,25,23,20,23,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,48,2,48,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,13,13,13,26,27,24,27,25,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,13,2,23,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,15,15,15,26,25,28,25,25,20,NA,"White, not of Hispanic or Latino(a) origin","M",68,45,2,50,"Y",68,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","B","Tippie College of Business","ACTG","B","Tippie College of Business","FINANCE",12,9,12,27,28,27,29,24,23,NA,"White, not of Hispanic or Latino(a) origin","M",63,116,4,138,"Y",63,NA,"(3,4]","(4,5]","[3,3]","(0,1]",NA,"(1,2]","(2010,2011]"
"N","N","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_DENT",13,13,10,21,24,25,15,18,22,NA,"White, not of Hispanic or Latino(a) origin","M",79,101,2,105,"Y",79,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,12,9,12,22,23,24,19,20,21,NA,"African American or Black","F",NA,65,2,68,NA,NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","ELEM_EDUC",NA,NA,NA,15,14,15,NA,NA,NA,NA,NA,39,NA,"White, not of Hispanic or Latino(a) origin","F",28,70,2,135,"Y",28,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"(1,2]","(2011,2012]"
"N","N","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,12,12,12,22,20,25,21,21,20,NA,"White, not of Hispanic or Latino(a) origin","F",82,38,2,42,"Y",82,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
